elec_demand_ERC_REST,elec_demand_ERC_WEST,elec_demand_ERC_PHDL,elec_demand_FRCC,elec_demand_MIS_MAPP,elec_demand_MIS_IL,elec_demand_MIS_INKY,elec_demand_MIS_IA,elec_demand_MIS_MIDA,elec_demand_MIS_LMI,elec_demand_MIS_MO,elec_demand_MIS_WUMS,elec_demand_MIS_MNWI,elec_demand_MIS_WOTA,elec_demand_MIS_AMSO,elec_demand_MIS_AR,elec_demand_MIS_D_MS,elec_demand_MIS_LA,elec_demand_NENG_CT,elec_demand_NENGREST,elec_demand_NENG_ME,elec_demand_NY_Z_C&E,elec_demand_NY_Z_F,elec_demand_NY_Z_G-I,elec_demand_NY_Z_J,elec_demand_NY_Z_K,elec_demand_NY_Z_A,elec_demand_NY_Z_B,elec_demand_NY_Z_D,elec_demand_PJM_WMAC,elec_demand_PJM_EMAC,elec_demand_PJM_SMAC,elec_demand_PJM_West,elec_demand_PJM_AP,elec_demand_PJM_COMD,elec_demand_PJM_ATSI,elec_demand_PJM_Dom,elec_demand_PJM_PENE,elec_demand_S_VACA,elec_demand_S_C_KY,elec_demand_S_D_AECI,elec_demand_S_C_TVA,elec_demand_S_SOU,elec_demand_SPP_NEBR,elec_demand_SPP_N,elec_demand_SPP_WEST,elec_demand_SPP_SPS,elec_demand_SPP_WAUE,elec_demand_WEC_CALN,elec_demand_WEC_LADW,elec_demand_WEC_SDGE,elec_demand_WECC_SCE,elec_demand_WECC_MT,elec_demand_WEC_BANC,elec_demand_WECC_ID,elec_demand_WECC_NNV,elec_demand_WECC_SNV,elec_demand_WECC_UT,elec_demand_WECC_PNW,elec_demand_WECC_CO,elec_demand_WECC_WY,elec_demand_WECC_AZ,elec_demand_WECC_NM,elec_demand_WECC_IID
68402.22805096129,23985.134986183846,1543.5356386879484,53161.37250275368,11548.312590790167,7269.641320297422,18227.926853977842,5194.255581492003,5692.714958774084,25209.878332068085,18438.991127281195,14600.060595641278,14614.745255478338,8082.709452032765,9568.847672033844,7061.602227204294,8165.93143742336,9458.502374998392,5627.590019120469,14451.583895346155,3338.0993579104374,2898.8842743649825,1801.5201244882426,3386.447514206467,11473.753223219412,3962.6268428295366,2144.5743037751954,2510.3582532010523,683.5173137605135,8129.853325935226,29705.729879541315,13790.377849553393,29591.93702180764,11769.17401283699,18926.350587856265,13923.714295166179,24903.618712255113,4045.943444008538,40898.11279975371,14552.622638056604,1283.3949573769785,39416.820302125656,50440.274719120804,8336.776910499158,12918.842808581952,16008.745987038203,3180.739992908162,14192.332710907225,20035.29689364872,18100.503238422778,7509.603502890241,15732.174505149316,5006.399131112921,4222.748084306397,5657.134342025548,1937.4101246304906,5632.81181244965,8471.231838355068,36754.52747615361,17490.301779808884,7025.726656752941,17388.251138450567,9131.218861162979,2181.100232854775
71153.26874383094,24112.10087530808,1568.9092747524662,55895.25408709449,11560.1707388443,7407.7750037506685,18951.296474420265,5274.5957394133575,5814.931142233367,25496.926931190243,18655.82068910663,14838.855746202571,14972.068227911046,8290.686530137611,9916.1624484072,7363.681028178937,8470.88773917832,9874.37539012084,5809.117295374056,14971.968797317704,3395.8131675343243,2942.868710347512,1828.494383112441,3436.9490888769533,11658.503531356317,4024.04636557535,2174.4007728989336,2533.0277378692685,688.5975104481686,8277.896023731158,30465.919399047525,14209.479936172354,30779.612559907844,12030.766339931031,19508.659183188163,14468.458093521956,25569.21294975814,4117.815941077542,43732.68104753031,14924.998629400434,1314.81105757061,41389.23882981585,54081.50945291214,8401.734362273806,13221.50942441498,16738.069944814073,3284.235928983627,14208.730437511507,20974.553903495853,18781.530103432327,7734.214315681887,16442.242127681275,5025.822879006349,4331.9244779711435,5714.178873194249,2009.89470426125,5828.581179760495,8613.66344864352,37212.78569377294,17575.834572938125,7065.3331425152855,18136.096056273,9298.103431446401,2193.4406464437448
74564.14591444863,24269.51950008365,1600.3687715710766,58662.755914748086,11597.87182498346,7448.852006934794,19702.593064377463,5350.75488534188,5928.69049959263,25977.290232306914,18903.19811095296,15022.20808853616,15341.674304226015,8553.848191702236,10375.126961350456,7747.361139144168,8888.61058101252,10423.937262971296,5909.609134398771,15325.898758975924,3426.4458948772494,2972.410013093396,1846.611126956032,3470.867503144233,11782.587531511412,4065.2976101956756,2194.4331487871527,2548.253262176456,692.0095270843991,8394.51674132178,31065.06895567233,14540.117502724366,31780.84813068867,12249.259173025288,20026.928100745296,14906.647653138149,26033.64500943662,4174.433540946137,46138.71090843602,15209.384591640961,1350.7212036751635,43519.811918505366,57690.35489502436,8531.923617425471,13714.192646463996,17726.466803458894,3419.1078785653635,14247.184410638354,21473.290786911046,19143.149146594333,7853.480602852306,16819.281542933197,5017.5593636124695,4389.896144662321,5726.2423313215295,2034.359343779476,5894.656297190056,8616.811801864915,36674.73254009883,18052.569575564106,7128.183818817406,18763.769444078367,9578.467217109415,2199.993292683038
77569.91267643005,24408.2414837926,1628.09181865515,60024.32754910686,11637.489740037236,7484.3798014307895,19840.516005841037,5414.376434067475,6022.888303481347,26030.867248719995,19105.65329704671,14857.043699469783,15227.694820835144,8785.190506570842,10776.566629604129,8089.704275063546,9294.215741159245,10904.619162571313,5835.606260885442,15180.968783092772,3389.9663324252356,2938.984196916097,1826.1121350000242,3432.4890108212066,11642.187196316034,4018.6220624129605,2171.766629187382,2531.0256683546,688.1488497061694,8363.511134838896,30996.431537181812,14478.978500540743,31944.689781697976,12217.508624920309,20181.046435383152,14985.893356585255,25865.23018580588,4159.380787278362,46975.28223113119,15309.856736296584,1380.1073799607134,45038.05545226749,59775.17839483414,8659.51335681355,14094.250298199733,18684.099062765275,3546.777097501309,14287.282675730186,22632.208966406066,19983.44569785891,8130.620462819839,17695.41051684436,5052.528962999755,4524.605289669693,5832.801023470353,2028.9950529482041,5880.168199517154,8756.383572933748,37004.66708793547,18625.854909756137,7249.814739274844,19849.6673928664,9966.064270312496,2215.2197212947362
79070.27525629272,24477.486138030883,1641.9300919246054,61467.524635611415,11651.196806880807,7642.546214350651,20076.94541157875,5395.09374235403,5994.20769253903,26074.285737808183,19088.601547739076,14975.859209473416,15488.520845786801,8887.505001003934,10906.568704614427,8190.103436202592,9358.233913088712,11060.283011331643,6000.148538958873,15621.088143367995,3438.609689079192,2975.624287043574,1848.5823388230283,3474.558033657714,11796.08863205411,4069.785997979003,2196.6127935672307,2549.909892360295,692.3807753266738,8458.282162052568,31587.501196220568,14702.901279722879,32776.33060891798,12404.661277306368,20314.344493804016,15438.60197455681,26406.041666280733,4205.390692111793,48525.522901873104,15512.757220671489,1377.6872924000706,45711.348170045014,62191.34439060655,8665.912252213702,14125.934516324363,19029.66322743559,3600.7067321712293,14298.177141277183,23926.113996179345,20921.617124082903,8440.04062784685,18673.588006232065,5140.256456157423,4675.004897426742,5934.811633850327,2361.3058762108626,6777.68709781309,8967.584552099665,37957.11768236423,19007.836358644916,7360.564474378483,21149.84776530215,10362.226676532851,2232.2196732389925
81830.32636627217,24604.867873732095,1667.3868341343266,64740.28959552118,11722.845099628668,7954.4007520792065,21090.984481943546,5431.10601803649,6047.153024881294,26979.859708172324,19263.071565516577,15762.426626194085,16612.57573536511,9066.383732013266,11095.788940781957,8378.674793971464,9546.315465251942,11286.854393797425,6462.783008213501,16866.551627266846,3616.021569694653,3161.2405584873572,1962.414906739662,3687.676919364114,12575.743131563797,4328.979112545203,2322.4818165618744,2645.576121429604,713.8194305874368,8982.884380562879,33868.67095890048,15399.823995008222,34733.95160475161,13047.799651362071,20907.77494179591,16456.093885788294,27543.415129267643,4460.077160081946,51758.99300339942,15972.868494640903,1403.0862329478796,47507.04954112353,66100.09978341173,8790.643505902592,14398.84074228999,19715.62082291387,3709.167727992687,14379.36514527678,24746.903390251013,21516.746699570678,8636.321487347868,19294.09545310001,5165.368423420534,4770.410973722278,5965.835428733553,2490.858010657274,7127.586890656245,8982.095314925518,38564.25177972942,19180.76216851327,7358.7840143387975,22017.477042047165,10498.13300840287,2243.0036015776514
86754.80302705811,24832.142061940835,1712.8066919724251,68222.85339884029,11896.181568011689,8284.150981987888,22533.368675733265,5704.737479763016,6457.823552274012,28595.306680452533,19963.216663751165,16712.174138171522,18051.481196415538,9425.931566766702,11649.376958616975,8901.053224761297,10088.854555521371,11949.7179835364,7034.728947332024,18498.9808481868,3846.359959993373,3441.323315774242,2134.180771686933,4009.259314102947,13752.190537655382,4720.084491195245,2512.409900809266,2789.9301762647324,746.1689528402363,9736.556823298268,37090.95011022423,16365.305836873986,37134.34119983405,13935.890951018737,22077.83359120862,17731.927559248845,28979.738565001237,4825.973769618224,54802.79386397366,16364.870700560508,1504.4867062688813,50264.816878631595,69774.9325180866,9134.073543892835,15395.340517241113,21255.900326502036,3929.4742725503675,14578.966862024969,25062.17986174215,21745.344138499924,8711.715657758921,19532.44087464593,5182.7762529704805,4807.057756605615,5972.804994691928,2542.167815811643,7266.16655088609,9037.514666798028,38093.84414770356,19784.020424977774,7558.4173775287345,22057.286471511034,10807.556408739336,2247.145856639357
90906.65731655517,25023.758228918512,1751.1004321202813,69859.12575122398,12069.715525577109,8106.069488928171,23990.91163902357,6010.166133071988,6914.375602691754,30097.503298633703,20729.24890851605,17621.144612204516,19039.87707846573,9728.96494796729,12115.557047129094,9365.962188178622,10567.445641877344,12507.919754889079,7517.419782785786,19880.044946253038,4053.1883512840523,3712.2503051157664,2300.331694814849,4320.329339147276,14890.180462326533,5098.404827865369,2696.1293301174614,2929.5653685331504,777.4609850358416,10455.150323950438,40023.46811501683,16971.22786969736,38966.80157760424,14677.421829949411,23315.035758945905,18764.35711622785,30168.848392298794,5174.840080126677,56339.85853264807,16447.643653381947,1615.410305482361,52200.044952580254,69844.77788359862,9550.013991476659,16419.146473644752,22568.15560337147,4127.549884402726,14823.014923928917,25849.60646136258,22316.283366664687,8900.018250316527,20127.726433284708,5303.970316990291,4898.585843736758,6163.877860963775,2642.6324162542005,7537.505520935009,9280.683622499208,38698.815937458996,21168.915887567455,7945.713529538198,22779.18514077968,11531.120847463626,2257.491448664396
92463.057917084,25095.589145618247,1765.4555605895355,66138.13796937292,12101.629876519035,7511.683128540423,23250.726272464835,6179.8213281386315,7166.18760307036,29481.310981570507,21216.906674277918,16627.479299358372,17276.223319823555,9864.767649054043,12409.043965767596,9659.791002460892,10764.954862793647,12859.3395593992,6918.466699898522,18289.732712254954,3824.279866143077,3443.328265902395,2135.4103435832367,4011.5613359193976,13760.612042434694,4722.884187847252,2513.769486106263,2790.963523621232,746.4005243236677,9717.51821664651,36828.68969669974,15765.283277499151,36340.322337718135,13720.890516754349,22646.885181069672,17247.293877999124,28203.67424069847,4816.730814239784,51750.634338951895,15965.28079723506,1686.1273644513196,50254.57922613658,64282.478470779366,9832.606495232118,17134.126238489916,23374.105055306827,4211.0222871455,14869.301229208491,27819.98864759862,23744.947933670323,9371.20892539411,21617.312966393714,5564.325423256328,5127.617109605056,6581.681723193601,2939.9630373530044,8340.548435038858,9796.259978927397,41570.677259540746,22911.79276235762,8495.697111798198,25138.200216463498,12224.033801202628,2283.3792851629237
85891.90084926072,24792.317451887906,1704.8478980505442,58365.39563001481,11905.323489378688,7222.6804580378575,20368.821567790954,5832.203061079787,6648.331063014547,26943.108660100428,20312.124690809404,14837.544405885365,15091.095391343873,9365.922718241036,11568.380727042675,8866.46191477319,9965.496650680927,11852.733501098082,5983.388091883975,15722.103826629107,3442.798034665179,3019.2868418467383,1875.359197806073,3524.6900342166878,11979.4869180573,4130.756049459665,2226.220990778277,2572.413479706444,697.423794706653,8488.596278606045,32070.754107321638,14275.378295330045,31808.439560572057,12253.155302659892,20416.78485660841,14916.862938091983,25761.145786618552,4220.107738329385,44188.77864798419,15032.502566708774,1555.055757373855,45899.08525278951,57645.74987259925,9406.29240734293,15821.068656807738,21149.492648297466,3917.936065826125,14620.848326043095,29929.48368947442,25274.479025736317,9875.666586343898,23212.067229893924,5827.711851693311,5372.818433138332,6953.436185834224,3204.643843519625,9055.409372665512,10341.860428373539,45432.98896570303,24237.471362489912,8923.81236206029,27201.27436918505,12534.681933973172,2311.0948523729007
