CT_NG,ME_NG,MA_NG,None
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
3.14,3.14,3.69,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
