MIDAT_conventional_hydroelectric_1,NE_conventional_hydroelectric_1,SE_conventional_hydroelectric_1
0.325582409,0.599496186,0.358589379
0.32598995,0.599691719,0.359135149
0.326365662,0.59990246,0.359620127
0.326715095,0.600092255,0.360068492
0.327082048,0.600258509,0.360582748
0.327449002,0.600470932,0.361063924
0.327841882,0.600666465,0.361577873
0.328208836,0.600854577,0.362063158
0.328566982,0.601065358,0.362511523
0.328933936,0.601260891,0.363024481
0.32930089,0.60141988,0.363542271
0.329708475,0.601654162,0.364019607
0.330077139,0.601850341,0.364504891
0.330426571,0.602015949,0.364953256
0.330802239,0.602211482,0.365467206
0.331151671,0.60244641,0.365985302
0.331518669,0.602621291,0.366462638
0.331929027,0.60281747,0.366946625
0.332278459,0.603029894,0.367431603
0.332645413,0.603217359,0.367908939
0.333018264,0.603413539,0.368427035
0.333385262,0.603625963,0.368904371
0.333795619,0.603792216,0.36938935
0.334145052,0.604009608,0.369874634
0.334512005,0.604222031,0.37035197
0.334861482,0.604388285,0.370868462
0.33523715,0.604583818,0.371382718
0.335629986,0.604818747,0.371831083
0.335996939,0.604984354,0.372316367
0.336363893,0.605179887,0.372830317
0.336728075,0.605346141,0.373311493
0.337095028,0.605589696,0.373825749
0.337496578,0.605785875,0.374274114
0.337863532,0.605951483,0.374759092
0.338230486,0.606163907,0.37527205
0.338579962,0.606381944,0.375753227
0.338946916,0.606547552,0.376238205
0.339339752,0.606759976,0.376752461
0.33971542,0.606956155,0.377200826
0.340057946,0.607143621,0.377715081
0.340446555,0.607356691,0.378196258
0.340813509,0.60755058,0.378681236
0.341206345,0.607716188,0.379194194
0.341573298,0.607951116,0.379642559
0.341931489,0.608146649,0.380156508
0.342298443,0.608312903,0.380674605
0.342665397,0.608508436,0.381122969
0.343058233,0.608751991,0.381637225
0.343425186,0.608918245,0.38208559
0.343774663,0.609113778,0.382599539
0.344165035,0.609326848,0.383116338
0.344509227,0.609514314,0.383564703
0.344926535,0.609709847,0.384078652
0.345293533,0.609922917,0.384563937
0.345642966,0.610088525,0.385041272
0.34600992,0.6103123,0.385559063
0.346361115,0.610518986,0.386044347
0.34673502,0.610684593,0.386521683
0.347145421,0.610880773,0.38700567
0.347494854,0.611090867,0.387483005
0.347876512,0.611281309,0.388000796
0.348225945,0.611476842,0.388486081
0.348601612,0.611642449,0.388963416
0.348987541,0.611892389,0.389448395
0.349361446,0.612082183,0.389933679
0.3497284,0.612247791,0.390443827
0.350077832,0.612460861,0.390927508
0.350444786,0.612683991,0.391405149
0.350839429,0.612844506,0.391890128
0.351213334,0.61305693,0.392375413
0.351594992,0.613252463,0.39288556
0.351944425,0.613446313,0.393370539
0.352311423,0.613652999,0.393884794
0.352704259,0.613849178,0.394333159
0.353079927,0.614013142,0.39481684
0.353422408,0.614253163,0.395327293
0.353796313,0.614443604,0.395812272
0.354163311,0.614609211,0.396326527
0.354556147,0.614805391,0.396774892
0.354931814,0.615054684,0.397259871
0.355289001,0.615214553,0.397806938
0.355662905,0.615410732,0.398255303
0.356029903,0.615623156,0.398767954
0.356422739,0.615817006,0.399216625
0.356789693,0.616006801,0.399701604
0.357140888,0.616182035,0.400248365
