Derating_factor_2,Derating_factor_1,Resource,Derating_factor_3
0.0,0.9,OR_natural_gas_fired_combustion_turbine_1,0.0
0.0,0.8,OR_onshore_wind_turbine_1,0.0
0.0,0.9,OR_other_peaker_1,0.0
0.0,0.8,OR_small_hydroelectric_1,0.0
0.0,0.8,OR_solar_photovoltaic_1,0.0
0.0,0.9,OR_biomass_1,0.0
0.0,0.8,OR_conventional_hydroelectric_1,0.0
0.0,0.9,OR_natural_gas_fired_combined_cycle_1,0.0
0.0,0.9,OR_natural_gas_fired_combustion_turbine_1,0.0
0.0,0.8,OR_small_hydroelectric_1,0.0
0.0,0.8,OR_solar_photovoltaic_1,0.0
0.0,0.8,OR_conventional_hydroelectric_1,0.0
0.0,0.9,OR_geothermal_1,0.0
0.0,0.8,OR_onshore_wind_turbine_1,0.0
0.0,0.8,OR_small_hydroelectric_1,0.0
0.0,0.8,OR_solar_photovoltaic_1,0.0
0.0,0.9,CA_biomass_1,0.0
0.0,0.8,CA_conventional_hydroelectric_1,0.0
0.0,0.9,CA_geothermal_1,0.0
0.0,0.9,CA_other_peaker_1,0.0
0.0,0.8,CA_small_hydroelectric_1,0.0
0.0,0.8,CA_solar_photovoltaic_1,0.0
0.9,0.0,CA_biomass_1,0.0
0.8,0.0,CA_conventional_hydroelectric_1,0.0
0.9,0.0,CA_geothermal_1,0.0
0.95,0.0,CA_hydroelectric_pumped_storage_1,0.0
0.9,0.0,CA_natural_gas_fired_combined_cycle_1,0.0
0.9,0.0,CA_natural_gas_fired_combustion_turbine_1,0.0
0.9,0.0,CA_natural_gas_steam_turbine_1,0.0
0.9,0.0,CA_nuclear_1,0.0
0.8,0.0,CA_onshore_wind_turbine_1,0.0
0.9,0.0,CA_other_peaker_1,0.0
0.8,0.0,CA_small_hydroelectric_1,0.0
0.8,0.0,CA_solar_photovoltaic_1,0.0
0.0,0.9,WA_naturalgas_combustion_turbine_fframe_moderate_0,0.0
0.0,0.95,WA_utilityscale_battery_storage_lithium_ion_moderate_0,0.0
0.0,0.9,WA_nuclear_nuclear__large_moderate_0,0.0
0.0,0.8,WA_landbasedwind_class3_moderate_1,0.0
0.0,0.8,WA_landbasedwind_class3_moderate_2,0.0
